iso	michael	ours
nnl	0	5057
kqe	7953	7959
chq	7953	5058
mpp	4020	4025
ssx	9482	9490
kgr	0	7947
nzi	0	7953
ceg	7953	7958
ksc	7953	5059
muy	7953	7958
shn	0	7955
bmq	7953	7957
kkl	3830	0
akb	7953	7958
sua	7871	7957
akp	0	7959
zac	7953	7958
ajz	7953	5059
rub	0	5059
gug	7892	5058
maq	7953	7958
kwd	7952	7959
fub	7904	5057
qvw	7950	7644
ksf	7953	5057
nmh	0	5058
kpw	7951	7959
tet	0	5059
bod	23210	23145
ttr	0	31083
rmq	0	1151
fuf	7953	7957
cat	7951	5058
mck	31168	5059
kln	0	5059
csk	7953	7954
cak	31168	7959
izz	7953	31095
kqo	7953	5058
ngu	7953	7933
apr	7938	7959
cgc	7953	7948
nxd	0	5057
chz	7953	7958
ndj	7953	7959
jmc	7953	7958
teo	7800	7958
bvz	7951	7800
mxp	7953	7958
taq	7953	7956
snf	0	5056
cco	7953	7895
sim	7940	7958
thk	7951	7932
gvf	7949	7959
yml	7950	7958
tew	0	3169
vut	7953	7957
tir	7937	7949
nld	31168	31103
dzo	0	7902
mta	7953	7904
byr	9237	9492
ign	7953	7957
gya	35694	5058
snc	7953	7959
dan	31168	31169
thl	0	7959
mxb	7953	7958
pot	2073	2078
blw	7949	7279
yue	0	31097
yss	7952	7958
zty	7953	7922
klv	7906	7958
cut	7952	7958
uvl	7950	7959
cfm	30578	30534
mbs	9486	7959
nhw	7953	7952
rap	0	7906
dyu	7953	31170
tap	0	7958
nno	31167	5057
ses	0	7957
sld	7953	7928
tab	7938	7879
jaa	0	5058
krl	0	7954
yka	0	7958
bhl	9757	9820
tyv	31105	5056
gul	7950	7959
srp	31152	5058
adj	7950	7955
bdd	7915	7959
ctp	7953	7957
okv	7944	7958
guo	7951	7800
uvh	0	5059
gbi	7953	7948
tar	7953	0
ceb	31168	31102
nlg	0	5059
esu	7953	5059
kpx	7950	7958
anm	0	5059
ese	7952	7959
zul	31152	5059
ban	7953	7944
ndc	7953	5058
pes	7926	5058
niq	7953	0
ktu	7953	5057
hig	7952	7911
lex	9785	7886
bug	7859	0
mda	7953	7936
mos	7953	7958
bth	7844	5057
kup	7950	7958
wib	0	4159
cnl	7953	7949
nst	0	5057
mto	7953	7958
bex	7951	7957
nuy	8373	5058
qxo	7950	7531
agm	7952	7959
kao	7953	7946
vie	31165	31081
gah	7937	7959
atq	0	7942
kbc	7953	7959
tur	31168	30984
plt	31449	5058
lid	9605	9623
srm	7952	7774
mnb	7953	7957
las	7949	0
