,FCBH/DBS,ISO,Language,Year,description,exist_API,verses
1,AAUWBT,aau,Abau,2006,Abau NT,True,7947
2,ACRWBT,acr,Rabinal Achí,2009,Achi Rabinal NT (new orthography),True,7958
4,ACCIBS,acr,Rabinal Achí,2009,New Testament in Achi,True,0
5,ACUTBL,acu,Achuar-Shiwiar,2008,Achuar-shiwiar Bible,True,7934
10,AGUNVS,agu,Aguacateco,2011,Aguacateco Bible,True,0
12,AGNWPS,agn,Agutaynen,2004,Agutaynen NT,True,0
15,AKEBSS,ake,Akawaio,2010,Akawaio NT,True,7958
16,BSSWBT,bss,Akoose,2011,Akoose NT,True,7942
19,GAHPNG,gah,Alekano,"1973, 1986",Alekano Bible,True,7941
21,ALPWBT,alp,Alune,2012,Alune NT,True,7912
27,AMKWBT,amk,Ambai,2010,Ambai NT,True,7954
32,AZGTBL,azg,San Pedro Amuzgos Amuzgo,1992,San Pedro Amuzgos NT,True,7957
33,ABYWBT,aby,Aneme Wake,1988,Aneme Wake NT,True,7855
35,AKHBSP,akh,Angal Heneng,1978,Angal Heneg NT,True,7931
36,AGGPNG,agg,Angor,2001,Angor NT,True,0
38,BOJWBT,boj,Anjam,2014,Anjam NT 2014,True,0
39,AAKWBT,aak,Ankave,1990,Minaifia NT,True,7953
48,APRWBT,apr,Arop-Lukep,2013,Arop-Lokep,True,0
50,MSYPNG,msy,Aruamu,2004,Aruamu NT,True,7729
51,CNIWBT,cni,Asháninka,2008,Asháninka NT,True,7775
52,CJOWBT,cjo,Ashéninka Pajonal,2008,Ashéninka Pajonal NT,True,7931
53,CPUWBT,cpu,Pichis Ashéninka,2008,Pichis Ashéninka NT,True,0
55,CPBWBT,cpb,Ucayali-Yurúa Ashéninka,2000,Ucayali-yurúa Ashéninka NT,True,0
59,AVTWBT,avt,Au,1992,Au NT,True,7955
60,AWBTBL,awb,Awa,"1974, 1997",Awa NT,True,7958
61,KWIWBT,kwi,Awa-Cuaiquer,2002,Awa-Cuaiquer NT,True,7917
72,BLZLAI,blz,Balantak,2010,Balantak NT,True,7958
73,PTULAI,ptu,Bambam,2004,Bambam Bible,True,7876
75,BSNTBL,bsn,Barasana,2010,Barasana-Eduria NT,True,0
76,MLPTBL,mlp,Bargam,2001,Bargam NT,True,7772
80,BELJFC,bel,Belarusan,2016,Belarusan NT+,True,7957
82,BEFWBT,bef,Benabena,1982,Benabena NT,True,7959
85,BHLPNG,bhl,Bimin,2008,Bimin NT,True,7931
87,BONPNG,bon,Bine,1993,Bine NT,True,7955
88,BKDWBT,bkd,Binukid,1986,Binukid NT,True,0
89,BJRWBT,bjr,Binumarien,"1983, 2001",Binumarien Bible,True,7818
94,BQCSIM,bqc,Boko,2010,Boko (Benin) Bible,True,31073
95,BUSSIM,bus,Bokobaru,2005,Bokobaru Bible,True,7957
96,BNPWBT,bnp,Bola,2011,Bola Bible,True,7943
100,BOATBL,boa,Bora,2008,Bora NT,True,0
101,GAIPBT,gai,Borei,2016,New Testament in Mborena Kam language,True,0
102,KSRPNG,ksr,Borong,"2002, 2011",Borong NT + OT portions,True,7957
104,BOXWYI,box,Buamu,2012,Buamu NT,True,7944
105,BZHPNG,bzh,Mapos Buang,2003,Buang NT,True,7957
106,MMOWBT,mmo,Mangga Buang,1981,Mangga Buang NT,True,7958
108,SABWBT,sab,Buglere,2008,Buglere NT,True,7542
110,BUKLBT,buk,Bugawac,2000,Bukawa NT,True,7953
113,BQPSIM,bqp,Busa,2005,Bisa Bible,True,7955
118,KBHWBT,kbh,Camsá,2009,Camsá NT,True,0
121,COTTBL,cot,Caquinte,2008,Caquinte NT,True,7919
122,CBCWBT,cbc,Carapana,2012,Carapana NT,True,0
128,CMEWBT,cme,Cerma,2011,Cerma NT,True,7958
136,ZYPWBT,zyp,Zyphe,2010,Zyphe Chin NT,True,7954
137,CCOTBL,cco,Comaltepec Chinantec,2002,Comaltepec Chinantec NT,True,0
138,CNLTBL,cnl,Lalana Chinantec,2012,Lalana Chinantec NT,True,7948
139,CLETBL,cle,Lealao Chinantec,2008,Lealao Chinantec NT,True,7959
140,CHZWBT,chz,Ozumacín Chinantec,2003,Ozumacín Chinantec NT,True,7958
141,CPATBL,cpa,Palantla Chinantec,1973,Palantla Chinantec NT,True,0
143,CSOTBL,cso,Sochiapan Chinantec,1986,Sochiapam Chinantec NT,True,7957
144,CNTTBL,cnt,Tepetotutla Chinantec,1994,Tepetotutla Chinantec NT,True,7948
145,CUCTBL,cuc,Usila Chinantec,1983,Usila Chinantec NT,True,7956
146,CAPSBB,cap,Chipaya,2009,Chipaya NT,True,7958
147,CAXSBB,cax,Chiquitano,2012,Chiquitano NT,True,7956
152,CHFTBL,chf,Tabasco Chontal,1977,Tabasco Chontal NT,True,0
153,CAAWBT,caa,Chortí,"1996, 2012, 2013",Chorti Bible,True,7956
154,CJVTBL,cjv,Chuave,1992,Chuave NT,True,7942
156,NCUWBT,ncu,Chumburung,2010,Chumburung NT,True,7686
158,CONWBT,con,Cofán,2012,Cofán Bible,True,7898
159,COFWBT,cof,Colorado,2012,Colorado NT,True,7878
160,CRNWBT,crn,El Nayar Cora,2008,El Nayar Presidio De Los Reyes Cora NT,True,7955
161,CUBWBT,cub,Cubeo,2009,Cubeo NT,True,7953
162,CUIWBT,cui,Cuiba,2010,Cuiba NT,True,0
168,DGZWBT,dgz,Daga,"1974, 2004",Daga Bible,True,7941
169,DAAWYI,daa,Dangaléat,2012,Dangaléat NT,True,7955
170,ASOTBL,aso,Dano,1989,Dano NT,True,7911
173,DWRTBL,dwr,Dawro,2011,Dawro NT (Latin script),True,7804
174,DEDWBT,ded,Dedua,2005,Dedua NT+Psalms,True,0
176,ANVWBT,anv,Denya,2010,Denya NT,True,7944
183,KJSWBT,kjs,East Kewa,2004,East Kewa NT,True,0
184,DJKWBT,djk,Aukan,2009,Eastern Maroon Creole NT,True,7877
186,EMPWYI,emp,Northern Emberá,2011,Northern Emberá NT,True,7752
188,ENQPNG,enq,Enga,1988,Enga NT,True,7936
197,FAIPNG,fai,Faiwol,1995,Faiwol NT,True,0
199,FAAWBT,faa,Fasu,2011,Fasu NT,True,7944
200,FARWBT,far,Fataleka,2017,Fataleka New Testament,True,7951
202,PPOWBT,ppo,Folopa,2005,Folopa NT,True,7916
204,FUESIM,fue,Borgu Fulfulde,2011,Fulfulde Borgu NT,True,7958
206,FUHSIM,fuh,Western Niger Fulfulde,2012,Fulfulde Burkina NT,True,0
207,GMVTBL,gmv,Gamo,2011,Gamo NT,True,7842
210,CABNVS,cab,Garifuna,2012,Garifuna NT,True,7947
211,NLGWBT,nlg,Gela,2015,Gela Bible,True,0
214,BBRWBT,bbr,Girawa,1994,Girawa NT,True,7923
215,GO1TBL,gof,Gofa,2011,Gofa NT (Ethiopic script),True,7958
216,GOFTBL,gof,Gofa,2011,Gofa NT (Latin script),True,7958
217,GVFWBT,gvf,Golin,1980,Golin NT,True,7952
218,GUHWBT,guh,Guahibo,2011,Guahibo NT,True,7884
219,GUBWBT,gub,Guajajára,2007,Guajajára Bible,True,30187
220,GUMTBL,gum,Guambiano,2010,Guambiano NT,True,7957
222,GUISBU,gui,Eastern Bolivian Guaraní,2012,Eastern Bolivian Guaraní NT,True,7914
223,GUNWBT,gun,Mbyá Guaraní,2004,Mbyá Guaraní NT,True,7957
226,GUOWBT,guo,Guayabero,2009,Guayabero NT,True,7800
229,DAHPNG,dah,Gwahatike,2000,Gwahatike NT,True,0
230,GWIWBT,gwi,Gwich'in,2010,Gwich'in NT,True,0
231,HLAPNG,hla,Halia,1978,Halia NT,True,7949
232,AMFSIM,amf,Hamer-Banna,2014,Banna NT,True,7954
233,WOSWBT,wos,Hanga Hundi,1997,Hanga Hundi Bible,True,7958
239,HNSWBT,hns,Caribbean Hindustani,2010,Caribbean Hindustani NT,True,7832
242,HUBWBT,hub,Huambisa,2010,Huambisa NT,True,7744
245,HUVTBL,huv,San Mateo del Mar Huave,2009,San Mateo Del Mar Huave NT,True,7958
247,HTOWBT,hto,Minica Huitoto,2011,Minica Huitoto NT,True,7956
249,HUIPNG,hui,Huli,"1983, 1991, 2002",Huli Bible,True,34855
250,YMLTBL,yml,Iamalele,"1984, 1988",Iamalele NT,True,7917
252,VIVWBT,viv,Iduna,"1983, 2003",Iduna NT,True,7934
253,IGNSBB,ign,Ignaciano,2012,Ignaciano NT,True,7957
256,IMOTBL,imo,Imbongu,1997,Imbo Ungu NT,True,7938
258,INBWBT,inb,Inga,2009,Inga NT,True,7940
259,INOTBL,ino,Inoke-Yate,1992,Inoke-Yate NT,True,7933
260,IPIPNG,ipi,Ipili,2008,Ipili NT,True,0
262,KBMTBL,kbm,Iwal,1984,Iwal NT,True,7871
264,IXLWBT,ixl,San Juan Cotzal Ixil,2001,Ixil Cotzal NT,True,0
265,IXIWBT,ixl,San Juan Cotzal Ixil,2008,Ixil Nebaj NT,True,7958
266,NCAWBT,nca,Iyo,2009,Iyo NT,True,7956
267,JACWBT,jac,Eastern Jacalteco,1997,Eastern Jakalteko NT,True,0
271,URBWBT,urb,Urubú-Kaapor,2012,Kaapor NT,True,7869
281,KMSPNG,kms,Kamasau,1998,Kamasau NT,True,7955
282,XLAPNG,xla,Kamula,2005,Kamula Bible,True,7928
283,SOQWBT,soq,Kanasi,1996,Kanasi NT,True,7933
285,GAMWBT,gam,Kandawo,2012-2014,Kandawo NT,True,7947
287,KMUTBL,kmu,Kanite,2002,Kanite NT,True,7945
294,CAKSBG,cak,Central Cakchiquel,2012,Kaqchikel NT,True,0
304,KSDPNG,ksd,Kuanua,1882-1983,Kauana Bible,True,31096
305,KYZWBT,kyz,Kayabí,2012,Kayabí NT,True,0
306,TXUTBL,txu,Kayapó,2012,Kayapó NT,True,7675
307,KHZPNG,khz,Keapara,2005,Keapara Kalo NT,True,7958
308,BMHWBT,bmh,Kein,2005,Kein NT,True,7922
310,KENWBT,ken,Kenyang,2010,Kenyang NT,True,7948
311,KYGTBL,kyg,Keyagana,2001,Keyagana Bible,True,7954
313,KJEWBT,kje,Kisar,2008,Kisar NT,True,7843
314,KPWPNG,kpw,Kobon,2005,Kobon NT,True,7940
315,KPXTBL,kpx,Mountain Koiali,1981,Mountain Koiali NT,True,7945
320,KPRTBL,kpr,Korafe,1984,Korafe NT,True,7647
321,KZEWBT,kze,Kosena,1980,Kosena NT,True,7930
323,KYFWBT,kyf,Kouya,2002,Kouya NT,True,7937
324,KGFGBT,kgf,Kube,2012,Kube NT+Psalms,True,7950
325,KUEPNG,kue,Kuman,2008,Kuman NT,True,7959
326,KVNWBT,kvn,Border Kuna,2009,Border Kuna NT,True,7958
329,KUPTBL,kup,Kunimaipa,"1989, 2002",Kunimaipa NT,True,7904
333,KDCPBT,kdc,Kutu,2014,Kutu NT,True,7959
335,KWJWBT,kwj,Kwanga,1992,Kwanga NT,True,7958
336,KWFWBT,kwf,Kwara'ae,2003,Kwara'ae Bible,True,7877
337,CWEPBT,cwe,Kwere,2014,Kwere NT,True,7956
339,KYCPNG,kyc,Kyaka,"1973, 1980, 1987",Kyaka Enga Bible,True,7896
342,LACTBL,lac,Lacandon,1978,Lacandon NT,True,0
344,LIFWBT,lif,Limbu,2009,Limbu NT (Limbu Script),True,7875
346,UVLWBT,uvl,Lote,2009,Lote NT,True,7954
347,LEXWBT,lex,Luang,"2005, 2014",Luang Bible,True,7886
348,RUFPBT,ruf,Luguru,2014,Luguru NT,True,0
352,MYYWBT,myy,Macuna,2012,New Testament in Macuna,True,7944
358,MCPWBT,mcp,Makaa,2014,Makaa NT,True,0
363,HOTWBT,hot,Hote,2010,Malei-Hote NT,True,7924
365,MAMSBG,mam,Northern Mam,2000,Mam Todos Santos NT,True,30992
368,MBHTBL,mbh,Mangseng,1999,Mangseng NT,True,0
370,MSMWPS,msm,Agusan Manobo,1999,Agusan Manobo NT,True,7936
372,MBTWBT,mbt,Matigsalug Manobo,2010,Matigsalug Manobo NT,True,7926
373,OBOWBT,obo,Obo Manobo,2011,Obo Manobo NT,True,7958
377,MLHPNG,mlh,Mape,2008,Mape NT,True,0
380,DADWBT,dad,Marik,2011,Marik NT,True,7942
382,KLVWBT,klv,Maskelynes,2013,Maskelynes NT,True,0
384,MHLPNG,mhl,Mauwake,1998,Mauwake NT,True,7919
386,MOPWBT,mop,Mopán Maya,2012,Mopán Maya NT,True,7904
387,MAZTBL,maz,Mazahua Central,2007,Central Mazahua NT,True,0
388,MAQTBL,maq,Chiquihuitlán Mazatec,1991,Chiquihuitlán Mazatec NT,True,0
391,MAASJV,maa,San Jerónimo Tecóatl Mazatec,2013,San Jerónimo Tecóatl Mazatec NT,True,7959
393,MQBWBT,mqb,Mbuko,2010,Mbuko NT,True,7954
395,MEKPNG,mek,Mekeo,1998,Mekeo NT,True,7956
396,TPIPNG,tpi,Tok Pisin,1969–2008,Tok Pisin Bible with Deuterocanon,True,30362
397,MEDPNG,med,Melpa,1995,Melpa NT,True,7924
398,SIMPNG,sim,Mende,2005,Mende NT,True,7933
399,MEETBL,mee,Mengen,2003,Mengen NT,True,7956
400,MEQWBT,meq,Merey,2012,Merey NT,True,7949
405,AAIWBT,aai,Arifama-Miniafia,2009,Minaifia NT,True,7959
407,MPXPNG,mpx,Misima-Paneati,"1947, 1997, 2011, 2016, 2018",Misima-Paneati Bible,True,7956
408,MCOTBL,mco,Coatlán Mixe,1976,Coatlán Mixe NT,True,7950
409,MIRTBL,mir,Isthmus Mixe,1988,Isthmus Mixe NT,True,0
410,MXQTBL,mxq,Juquila Mixe,2009,Juquila Mixe NT,True,0
415,MIZTBL,miz,Coatzospan Mixtec,2003,Coatzospan Mixtec NT,True,0
416,XTDTBL,xtd,Diuxi-Tilantongo Mixtec,2001,Diuxi-tilantongo Mixtec NT,True,7953
417,MXTTBL,mxt,Jamiltepec Mixtec,1983,Jamiltepec Mixtec NT,True,7918
419,MIETBL,mie,Ocotepec Mixtec,1977,Ocotepec Mixtec,True,0
420,MILTBL,mil,Peñoles Mixtec,2002,Peñoles Mixtec NT,True,7955
421,MIOWBT,mio,Pinotepa Nacional Mixtec,1980,Pinotepa Nacional Mixtec NT,True,7954
424,MKSTBL,mks,Silacayoapan Mixtec,2009,Silacayoapan Mixtec NT,True,0
425,MITTBL,mit,Southern Puebla Mixtec,1978,Southern Puebla Mixtec NT,True,7953
426,MXBMVR,mxb,Tezoatlán Mixtec,2006,Tezoatlán Mixtec NT,True,7958
427,MPMTBL,mpm,Yosondúa Mixtec,1988,Yosondúa Mixtec NT,True,7951
428,SOYSIM,soy,Miyobe,2010,Sola NT,True,0
429,MKLSIM,mkl,Mokole,2006,Monkole NT,True,7904
432,MEUPNG,meu,Motu,1959-1973,Motu Bible,True,31099
433,HMOPNG,hmo,Hiri Motu,"1964, 1982, 1994",Hiri Motu Bible,True,30911
435,BMRWBT,bmr,Muinane,2009,Muinane NT,True,7950
438,TUCOOV,tuc,Mutu,2011,Saveeng Oov Bible,True,7945
440,MUYWBT,muy,Muyang,2013,Muyang NT,True,7958
441,MYWPNG,myw,Muyuw,"1976, 1993",Muyuw NT,True,7757
443,NASPNG,nas,Naasioi,1994,Naasioi NT,True,7951
446,TNKWBT,tnk,Kwamera,2013,Kwamera NT,True,0
447,NHWTBL,nhw,Western Huasteca Nahuatl,2005,Huasteca Occidental Nahuatl Bible,True,7952
449,NGUTBL,ngu,Guerrero Nahuatl,1987,Guerrero Nahuatl NT,True,7933
450,AZZTBL,azz,Highland Puebla Nahuatl,1975,Highland Puebla Nahuatl NT,True,7947
